Lernende Personen schliessen eine berufliche Grundbildung meist im Alter von 18 oder 19 Jahren ab. Im Normalfall absolvieren die militärdienstpflichtigen Schweizer oder die freiwillig dienstleistenden Schweizerinnen die Rekrutenschule (RS) direkt nach ihrer ersten beruflichen Grundbildung.|Wann schließen Lernende in der Regel ihre berufliche Grundbildung ab? | im Alter von 18 oder 19 Jahren 
Lernende Personen schliessen eine berufliche Grundbildung meist im Alter von 18 oder 19 Jahren ab. Im Normalfall absolvieren die militärdienstpflichtigen Schweizer oder die freiwillig dienstleistenden Schweizerinnen die Rekrutenschule (RS) direkt nach ihrer ersten beruflichen Grundbildung.|Wer absolviert normalerweise die Rekrutenschule direkt nach ihrer ersten beruflichen Grundbildung? | militärdienstpflichtigen Schweizer oder die freiwillig dienstleistenden Schweizerinnen 
Lernende Personen schliessen eine berufliche Grundbildung meist im Alter von 18 oder 19 Jahren ab. Im Normalfall absolvieren die militärdienstpflichtigen Schweizer oder die freiwillig dienstleistenden Schweizerinnen die Rekrutenschule (RS) direkt nach ihrer ersten beruflichen Grundbildung.|Was wird in der Regel direkt nach der ersten beruflichen Grundbildung absolviert? | die Rekrutenschule (RS) 
Lernende Personen schliessen eine berufliche Grundbildung meist im Alter von 18 oder 19 Jahren ab. Im Normalfall absolvieren die militärdienstpflichtigen Schweizer oder die freiwillig dienstleistenden Schweizerinnen die Rekrutenschule (RS) direkt nach ihrer ersten beruflichen Grundbildung.|Wer kann die Rekrutenschule freiwillig absolvieren? | Schweizerinnen 
Lernende Personen schliessen eine berufliche Grundbildung meist im Alter von 18 oder 19 Jahren ab. Im Normalfall absolvieren die militärdienstpflichtigen Schweizer oder die freiwillig dienstleistenden Schweizerinnen die Rekrutenschule (RS) direkt nach ihrer ersten beruflichen Grundbildung.|Wer ist zur Rekrutenschule verpflichtet? | militärdienstpflichtigen Schweizer 
Wo die berufliche Grundbildung zum Zeitpunkt des Beginns der RS noch nicht abgeschlossen ist, empfiehlt sich eine frühzeitige Information beim Kreiskommando des Wohnortkantons der lernenden Person über die zur Verfügung stehenden Ausweichmöglichkeiten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben. Dieses Merkblatt behandelt die häufigsten Fragen, die sich im Zusammenhang mit der beruflichen Grundbildung und der militärischen Ausbildung beim Lehrbetrieb und der lernenden Person stellen.|Was sollte Vorrang vor der militärischen Ausbildung haben? | Der Abschluss der beruflichen Erstausbildung 
Wo die berufliche Grundbildung zum Zeitpunkt des Beginns der RS noch nicht abgeschlossen ist, empfiehlt sich eine frühzeitige Information beim Kreiskommando des Wohnortkantons der lernenden Person über die zur Verfügung stehenden Ausweichmöglichkeiten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben. Dieses Merkblatt behandelt die häufigsten Fragen, die sich im Zusammenhang mit der beruflichen Grundbildung und der militärischen Ausbildung beim Lehrbetrieb und der lernenden Person stellen.|Wann sollte man sich beim Kreiskommando des Wohnortkantons informieren? | frühzeitig 
Wo die berufliche Grundbildung zum Zeitpunkt des Beginns der RS noch nicht abgeschlossen ist, empfiehlt sich eine frühzeitige Information beim Kreiskommando des Wohnortkantons der lernenden Person über die zur Verfügung stehenden Ausweichmöglichkeiten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben. Dieses Merkblatt behandelt die häufigsten Fragen, die sich im Zusammenhang mit der beruflichen Grundbildung und der militärischen Ausbildung beim Lehrbetrieb und der lernenden Person stellen.|Wofür sollte man sich beim Kreiskommando des Wohnortkantons informieren? | über die zur Verfügung stehenden Ausweichmöglichkeiten 
Wo die berufliche Grundbildung zum Zeitpunkt des Beginns der RS noch nicht abgeschlossen ist, empfiehlt sich eine frühzeitige Information beim Kreiskommando des Wohnortkantons der lernenden Person über die zur Verfügung stehenden Ausweichmöglichkeiten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben. Dieses Merkblatt behandelt die häufigsten Fragen, die sich im Zusammenhang mit der beruflichen Grundbildung und der militärischen Ausbildung beim Lehrbetrieb und der lernenden Person stellen.|Wann empfiehlt sich eine frühzeitige Information beim Kreiskommando? | Wenn die berufliche Grundbildung zum Zeitpunkt des Beginns der RS noch nicht abgeschlossen ist 
Wo die berufliche Grundbildung zum Zeitpunkt des Beginns der RS noch nicht abgeschlossen ist, empfiehlt sich eine frühzeitige Information beim Kreiskommando des Wohnortkantons der lernenden Person über die zur Verfügung stehenden Ausweichmöglichkeiten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben. Dieses Merkblatt behandelt die häufigsten Fragen, die sich im Zusammenhang mit der beruflichen Grundbildung und der militärischen Ausbildung beim Lehrbetrieb und der lernenden Person stellen.|Was behandelt dieses Merkblatt? | die häufigsten Fragen, die sich im Zusammenhang mit der beruflichen Grundbildung und der militärischen Ausbildung beim Lehrbetrieb und der lernenden Person stellen 
Darf eine berufliche Grundbildung vor Ablauf der obligatorischen Schulzeit starten? Nein. Auch wenn der Eintritt in die RS meistens am Ende der Lehrzeit stattfindet, darf der Beginn der beruflichen Grundbildung nicht vorgezogen werden, das heisst, die berufliche Grundbildung darf nicht vor Ende der obligatorischen Schulzeit beginnen.|Darf eine berufliche Grundbildung vor Ablauf der obligatorischen Schulzeit starten? | Nein. 
Darf eine berufliche Grundbildung vor Ablauf der obligatorischen Schulzeit starten? Nein. Auch wenn der Eintritt in die RS meistens am Ende der Lehrzeit stattfindet, darf der Beginn der beruflichen Grundbildung nicht vorgezogen werden, das heisst, die berufliche Grundbildung darf nicht vor Ende der obligatorischen Schulzeit beginnen.|Wann darf der Beginn der beruflichen Grundbildung nicht vorgezogen werden? | die berufliche Grundbildung darf nicht vor Ende der obligatorischen Schulzeit beginnen. 
Darf eine berufliche Grundbildung vor Ablauf der obligatorischen Schulzeit starten? Nein. Auch wenn der Eintritt in die RS meistens am Ende der Lehrzeit stattfindet, darf der Beginn der beruflichen Grundbildung nicht vorgezogen werden, das heisst, die berufliche Grundbildung darf nicht vor Ende der obligatorischen Schulzeit beginnen.|Wann findet der Eintritt in die RS meistens statt? | am Ende der Lehrzeit 
Kann die Rekrutenschule verschoben werden? Die RS kann in Ausnahmefällen auf ein begründetes Gesuch der lernenden Person verschoben werden. Insbesondere, wenn die berufliche Grundbildung noch nicht abgeschlossen ist. Nachteile, die sich aus einer Verschiebung für die lernende Person später ergeben können (Häufung von Dienstleistungen, unpassende Dienstzeiten), sollten zu Gunsten einer kontinuierlichen Ausbildung in Kauf genommen werden. Hingegen kann das Verschieben der Sommer-RS, Beginn jeweils etwa Ende Juni, vom Lehrbetrieb nicht verlangt werden, wenn die lernende Person im letzten Lehrjahr ist.|Kann die Rekrutenschule verschoben werden? | Die RS kann in Ausnahmefällen auf ein begründetes Gesuch der lernenden Person verschoben werden. 
Kann die Rekrutenschule verschoben werden? Die RS kann in Ausnahmefällen auf ein begründetes Gesuch der lernenden Person verschoben werden. Insbesondere, wenn die berufliche Grundbildung noch nicht abgeschlossen ist. Nachteile, die sich aus einer Verschiebung für die lernende Person später ergeben können (Häufung von Dienstleistungen, unpassende Dienstzeiten), sollten zu Gunsten einer kontinuierlichen Ausbildung in Kauf genommen werden. Hingegen kann das Verschieben der Sommer-RS, Beginn jeweils etwa Ende Juni, vom Lehrbetrieb nicht verlangt werden, wenn die lernende Person im letzten Lehrjahr ist.|Unter welchen Umständen kann die Rekrutenschule verschoben werden? | Insbesondere, wenn die berufliche Grundbildung noch nicht abgeschlossen ist. 
Kann die Rekrutenschule verschoben werden? Die RS kann in Ausnahmefällen auf ein begründetes Gesuch der lernenden Person verschoben werden. Insbesondere, wenn die berufliche Grundbildung noch nicht abgeschlossen ist. Nachteile, die sich aus einer Verschiebung für die lernende Person später ergeben können (Häufung von Dienstleistungen, unpassende Dienstzeiten), sollten zu Gunsten einer kontinuierlichen Ausbildung in Kauf genommen werden. Hingegen kann das Verschieben der Sommer-RS, Beginn jeweils etwa Ende Juni, vom Lehrbetrieb nicht verlangt werden, wenn die lernende Person im letzten Lehrjahr ist.|Was sind mögliche Nachteile einer Verschiebung der Rekrutenschule? | Nachteile, die sich aus einer Verschiebung für die lernende Person später ergeben können (Häufung von Dienstleistungen, unpassende Dienstzeiten). 
Kann die Rekrutenschule verschoben werden? Die RS kann in Ausnahmefällen auf ein begründetes Gesuch der lernenden Person verschoben werden. Insbesondere, wenn die berufliche Grundbildung noch nicht abgeschlossen ist. Nachteile, die sich aus einer Verschiebung für die lernende Person später ergeben können (Häufung von Dienstleistungen, unpassende Dienstzeiten), sollten zu Gunsten einer kontinuierlichen Ausbildung in Kauf genommen werden. Hingegen kann das Verschieben der Sommer-RS, Beginn jeweils etwa Ende Juni, vom Lehrbetrieb nicht verlangt werden, wenn die lernende Person im letzten Lehrjahr ist.|Sollten die Nachteile einer Verschiebung der Rekrutenschule in Kauf genommen werden? | Sollten zu Gunsten einer kontinuierlichen Ausbildung in Kauf genommen werden. 
