Das Arbeitsgesetz Gefährliche Arbeiten Soweit es in der jeweiligen Bildungsverordnung vorgesehen ist, sind gefährliche Arbeiten möglich, wenn die Lernenden unter Kontrolle stehen und entsprechend angeleitet werden. Die Anleitung ist in der jeweiligen Bildungsverordnung definiert (resp. im Anhang 2 zum Bildungsplan oder in den begleitenden Massnahmen als Teil des Bildungsplanes).|Was sind gefährliche Arbeiten im Arbeitsgesetz? | Das Arbeitsgesetz Gefährliche Arbeiten 
Das Arbeitsgesetz Gefährliche Arbeiten Soweit es in der jeweiligen Bildungsverordnung vorgesehen ist, sind gefährliche Arbeiten möglich, wenn die Lernenden unter Kontrolle stehen und entsprechend angeleitet werden. Die Anleitung ist in der jeweiligen Bildungsverordnung definiert (resp. im Anhang 2 zum Bildungsplan oder in den begleitenden Massnahmen als Teil des Bildungsplanes).|Unter welchen Bedingungen sind gefährliche Arbeiten für Lernende möglich? | Soweit es in der jeweiligen Bildungsverordnung vorgesehen ist, sind gefährliche Arbeiten möglich, wenn die Lernenden unter Kontrolle stehen und entsprechend angeleitet werden. 
Das Arbeitsgesetz Gefährliche Arbeiten Soweit es in der jeweiligen Bildungsverordnung vorgesehen ist, sind gefährliche Arbeiten möglich, wenn die Lernenden unter Kontrolle stehen und entsprechend angeleitet werden. Die Anleitung ist in der jeweiligen Bildungsverordnung definiert (resp. im Anhang 2 zum Bildungsplan oder in den begleitenden Massnahmen als Teil des Bildungsplanes).|Wo ist die Anleitung für gefährliche Arbeiten definiert? | Die Anleitung ist in der jeweiligen Bildungsverordnung definiert (resp. im Anhang 2 zum Bildungsplan oder in den begleitenden Massnahmen als Teil des Bildungsplanes). 
Art. 1 der Verordnung des WBF über gefährliche Arbeiten für Jugendliche Verbot für gefährliche Arbeiten von Jugendlichen wie z. B. ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. Art. 4 ArGV 5 Informationspflicht bei Lehreintritt Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. Der Arbeitgeber muss die Eltern oder erziehungsberechtigten Personen über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden, informieren. Art. 19 ArGV 5 Tages- und Abendarbeit / Generelle Erläuterungen / Arbeitszeit Tagesarbeitszeit Abendarbeitszeit Nachtarbeitszeit 06.00 bis 20.00 Uhr 20.00 bis 23.00 Uhr 23.00 bis 06.00 Uhr Die Tagesarbeitszeit darf um höchstens 1 Stunde vorverlegt werden. Wird der Beginn der betrieblichen Tagesarbeit auf 5 Uhr vorverlegt, so gilt dies für Jugendliche ebenfalls als Tagesarbeitszeit. Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5|Welche Arbeiten sind für Jugendliche gemäß Art. 1 der Verordnung des WBF verboten? | ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. 
Art. 1 der Verordnung des WBF über gefährliche Arbeiten für Jugendliche Verbot für gefährliche Arbeiten von Jugendlichen wie z. B. ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. Art. 4 ArGV 5 Informationspflicht bei Lehreintritt Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. Der Arbeitgeber muss die Eltern oder erziehungsberechtigten Personen über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden, informieren. Art. 19 ArGV 5 Tages- und Abendarbeit / Generelle Erläuterungen / Arbeitszeit Tagesarbeitszeit Abendarbeitszeit Nachtarbeitszeit 06.00 bis 20.00 Uhr 20.00 bis 23.00 Uhr 23.00 bis 06.00 Uhr Die Tagesarbeitszeit darf um höchstens 1 Stunde vorverlegt werden. Wird der Beginn der betrieblichen Tagesarbeit auf 5 Uhr vorverlegt, so gilt dies für Jugendliche ebenfalls als Tagesarbeitszeit. Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5|Was muss der Arbeitgeber bei Lehreintritt eines Jugendlichen gemäß Art. 4 ArGV 5 tun? | Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. 
Art. 1 der Verordnung des WBF über gefährliche Arbeiten für Jugendliche Verbot für gefährliche Arbeiten von Jugendlichen wie z. B. ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. Art. 4 ArGV 5 Informationspflicht bei Lehreintritt Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. Der Arbeitgeber muss die Eltern oder erziehungsberechtigten Personen über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden, informieren. Art. 19 ArGV 5 Tages- und Abendarbeit / Generelle Erläuterungen / Arbeitszeit Tagesarbeitszeit Abendarbeitszeit Nachtarbeitszeit 06.00 bis 20.00 Uhr 20.00 bis 23.00 Uhr 23.00 bis 06.00 Uhr Die Tagesarbeitszeit darf um höchstens 1 Stunde vorverlegt werden. Wird der Beginn der betrieblichen Tagesarbeit auf 5 Uhr vorverlegt, so gilt dies für Jugendliche ebenfalls als Tagesarbeitszeit. Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5|Worüber müssen die Eltern oder erziehungsberechtigten Personen informiert werden? | über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden 
Art. 1 der Verordnung des WBF über gefährliche Arbeiten für Jugendliche Verbot für gefährliche Arbeiten von Jugendlichen wie z. B. ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. Art. 4 ArGV 5 Informationspflicht bei Lehreintritt Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. Der Arbeitgeber muss die Eltern oder erziehungsberechtigten Personen über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden, informieren. Art. 19 ArGV 5 Tages- und Abendarbeit / Generelle Erläuterungen / Arbeitszeit Tagesarbeitszeit Abendarbeitszeit Nachtarbeitszeit 06.00 bis 20.00 Uhr 20.00 bis 23.00 Uhr 23.00 bis 06.00 Uhr Die Tagesarbeitszeit darf um höchstens 1 Stunde vorverlegt werden. Wird der Beginn der betrieblichen Tagesarbeit auf 5 Uhr vorverlegt, so gilt dies für Jugendliche ebenfalls als Tagesarbeitszeit. Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5|Wie sind die Arbeitszeiten für Tages-, Abend- und Nachtarbeit definiert? | Tagesarbeitszeit 06.00 bis 20.00 Uhr, Abendarbeitszeit 20.00 bis 23.00 Uhr, Nachtarbeitszeit 23.00 bis 06.00 Uhr 
Art. 1 der Verordnung des WBF über gefährliche Arbeiten für Jugendliche Verbot für gefährliche Arbeiten von Jugendlichen wie z. B. ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. Art. 4 ArGV 5 Informationspflicht bei Lehreintritt Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. Der Arbeitgeber muss die Eltern oder erziehungsberechtigten Personen über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden, informieren. Art. 19 ArGV 5 Tages- und Abendarbeit / Generelle Erläuterungen / Arbeitszeit Tagesarbeitszeit Abendarbeitszeit Nachtarbeitszeit 06.00 bis 20.00 Uhr 20.00 bis 23.00 Uhr 23.00 bis 06.00 Uhr Die Tagesarbeitszeit darf um höchstens 1 Stunde vorverlegt werden. Wird der Beginn der betrieblichen Tagesarbeit auf 5 Uhr vorverlegt, so gilt dies für Jugendliche ebenfalls als Tagesarbeitszeit. Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5|Um wie viel kann die Tagesarbeitszeit vorverlegt werden? | um höchstens 1 Stunde 
Art. 1 der Verordnung des WBF über gefährliche Arbeiten für Jugendliche Verbot für gefährliche Arbeiten von Jugendlichen wie z. B. ionisierende Strahlungen, Arbeiten bei Überdruck, Arbeiten bei extremer Hitze, Kälte oder erheblicher Nässe, Arbeiten, die mit erheblichen Stössen, erheblichem Lärm oder Erschütterungen verbunden sind. Art. 4 ArGV 5 Informationspflicht bei Lehreintritt Der Arbeitgeber muss dafür besorgt sein, dass Jugendliche ausreichend und angemessen informiert und angeleitet werden. Der Arbeitgeber muss die Eltern oder erziehungsberechtigten Personen über die Arbeitsbedingungen, über mögliche Gefahren sowie über die Massnahmen, die für Sicherheit und Gesundheit getroffen werden, informieren. Art. 19 ArGV 5 Tages- und Abendarbeit / Generelle Erläuterungen / Arbeitszeit Tagesarbeitszeit Abendarbeitszeit Nachtarbeitszeit 06.00 bis 20.00 Uhr 20.00 bis 23.00 Uhr 23.00 bis 06.00 Uhr Die Tagesarbeitszeit darf um höchstens 1 Stunde vorverlegt werden. Wird der Beginn der betrieblichen Tagesarbeit auf 5 Uhr vorverlegt, so gilt dies für Jugendliche ebenfalls als Tagesarbeitszeit. Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5|Wann gilt für Jugendliche der Beginn der betrieblichen Tagesarbeit als Tagesarbeitszeit, wenn sie auf 5 Uhr vorverlegt wird? | Art. 10 Abs. 1 ArG, Art. 12 Abs. 2 ArGV5 
Bis 18. Altersjahr Ab 18. Altersjahr Abendarbeit Jugendliche von mehr als 16 Jahren bis max. 22.00 Uhr. Höchstens 9 Stunden pro Tag. Tages- und Abendarbeit müssen innerhalb von 12 Stunden liegen. Art. 10 Abs. 1 ArG in Verbindung mit Art. 31 Abs. 1 ArG, Art. 31 Abs. 2 ArG Achtung: Jugendliche dürfen vor Berufsfachschultagen oder überbetrieblichen Kursen längstens bis 20.00 Uhr beschäftigt werden (wegen Ruhezeiten). Art. 16 Abs. 2 ArGV 5 Abendarbeit 20.00 bis 23.00 Uhr. Innerhalb von 14 Stunden inkl. Pausen und Überzeit. Art. 10 Abs. 1 und 3 ArG Ab 18. Altersjahr Abendarbeit Jugendliche von mehr als 16 Jahren bis max. 22.00 Uhr. Höchstens 9 Stunden pro Tag. Tages- und Abendarbeit müssen innerhalb von 12 Stunden liegen. Art. 10 Abs. 1 ArG in Verbindung mit Art. 31 Abs. 1 ArG, Art. 31 Abs. 2 ArG Achtung: Jugendliche dürfen vor Berufsfachschultagen oder überbetrieblichen Kursen längstens bis 20.00 Uhr beschäftigt werden (wegen Ruhezeiten). Art. 16 Abs. 2 ArGV 5 Abendarbeit 20.00 bis 23.00 Uhr. Innerhalb von 14 Stunden inkl. Pausen und Überzeit. Art. 10 Abs. 1 und 3 ArG|Wie lange dürfen Jugendliche ab 16 Jahren Abendarbeit verrichten? | bis max. 22.00 Uhr. 
